A Chinese educational institution is seeking a UK counterpart to jointly set up a kindergarten in the central part of China.,"The Chinese institution is located in Beijing, and has over 20 years experience working in international school sector. 
At the moment the association is looking for a UK counterpart to jointly set up a kindergarten in the central of China, a third tier city. The land is already obtained and the decoration finished. The Chinese partner hopes to open the kindergarten by the February of 2017. 
It is preferred that the UK partner is well established, with reputation and international experience. 
If you are interested in this opportunity, please register your interest with our team in China. The China- Britain Business Council (‘CBBC’) is a membership organisation and UKTI’s chosen partner in China to deliver trade services. To find out more about CBBC please visit www.cbbc.org.",15/08/2016
"Design, construction and operation of an irrigation project.","The Grand Prairie Irrigation P3 Project is issuing a Request for Information for the design, construction, financing, operation and maintenance of an irrigation project.
The project will be comprised of a pumping station, a network of new canals, pipelines and associated channel structures, on‐farm features, and environmental restoration and enhancement measures.
The proposed P3 is valued at up to USD 400m.
Please apply below for further information.",25/07/2016
The Panama Canal Authority has published a tender for the design and manufacture of crane electrical components.,"The Panama Canal Authority has published a tender for the design, manufacture, delivery, supervision of the installation, training, and start-up of one (1) new DC Static Exciter System for crane Titan
The Panama Canal Authority (ACP) is a Panamanian independent entity that administers and operates the Panama Canal and its facilities.
The contractor that applies for this opportunity shall be responsible for the following:
1. Perform a field survey to get all the information of the existing system to manufacture new electrical components for the operation of the system. 
2. Provide complete engineering services including design, manufacture, and star-up of the system.
3. Provide recommended spare part list, equipment part list, installation procedures manuals, and maintenance and operation procedures manuals.
4. Supervision of installation of the equipment. The installation (labour) will be done by the ACP. If any special tool will be required for the installations, then the Contractor shall notify ACP, and he Contractor shall provide such tools.
Deadline to submit proposal is the 20th of July.
UKTI is keen to support UK companies interested in this opportunity, please submit your interest below and we will be able to provide you with further information and tender documents",19/07/2016
Orthopedic implants needed for treatment of arthritic degenerative disease and joint fracture.,"Orthopedic implants and total joints are needed by a hospital system in Northern California for their trauma cases. The total joints are for the treatment of arthritic degenerative diseases and/or the treatment of acute joint fracture. 
The hospital system has an annual trauma case load of nearly 900 (800 of which are internal fixation procedures), and total joints cases of about 80. For total joints, over 40 procedures were hips, with knees making up the remainder. 
The terms of the contract are five years, unless terminated earlier or otherwise amended. 
Please register your interest below for further information.",14/07/2016
The Panama Canal Authority has published a tender for the procurement of photovoltaic modules.,"The Panama Canal Authority is a Panamanian independent entity that administers and operates the Panama Canal and its facilities.
For this importunity, it s required to supply 16 solar panels multi-crystal photovoltaic module. UV stabilized, black anodized frame, grounding point on all four corners for use in hazardous locations. It needs to be 1,475 to 1,500 mm long, 670 mm maximum width, and37.5 minimum depth.
The product must have two years of minimum warranty on material and workmanship, and 10 years of minimum warranty on power output.
Deadline to submit proposal is the 18th of July
UKTI is keen to support UK companies interested in this opportunity, please submit your interest below and we will be able to provide you with further information.",17/07/2016
The Panama Canal Authority has published a tender for the procurement of radio mobile equipment.,"The Panama Canal Authority is a Panamanian independent entity that administers and operates the Panama Canal and its facilities
For this importunity, it is required to supply 40 unite of mobile tel-radios with tetra system and consol display and GPS module 380-400 MHZ.
Deadline to submit proposal is the 19th of July, and the proposal must include the specifications of equipment, programming software, cable, keys in order to program and authenticate the radios with existing Hytera infrastructure.
UKTI is keen to support UK companies interested in this opportunity, please submit your interest below and we will be able to provide you with further information.",18/07/2016
Invitation for expression of interest for consultants' contracts for the advisory work on Justice sector reform.,"The Republic of Serbia has received financing in the amount of USD 4,700,000.00 equivalent a Grant from various donors, administered by the World Bank (Bank) toward the cost of the Multi-Donor Trust Fund for Justice Sector Support in the Republic of Serbia (Project) and it intends to apply part of the proceeds to payments for goods and consulting services to be procured under the Project.
The objective of the Project is to provide support  for strengthening and advancing the justice sector reform in the Republic of Serbia in order to facilitate its integration to the EU. The project consists of the following parts:
Part A: Justice Sector Reform Facilitation Unit;
Part B: Access to Justice
The Ministry of Justice is currently collecting expressions of interest, in order to create a database of contacts that will be provided with further information about this project and future tendering procedure.
 Accordingly, for further information, please register your interest below with the team in UKTI Serbia.",31/08/2016
A tender for a project documentation and construction works of primary school and sports hall announced.,"The Authority of Poreba Wielka in Poland announced a tender for a design and build project aiming at construction of primary school together with its sport hall.
Bid bond: PLN 110,000 (ca GBP 21,000)
Criteria: Price 95%, Guarantee 5%
Deadline for submission: 12 am (CET) on 29.07.2016
For more information please register your interest below with the UKTI Warsaw team.",03/08/2016
"New system to manage data associated with AACSB, AMBA and EQUIS accreditation projects.","Irish business school wishes to consider a new IT solution that will:
- Manage the key data (for Staff and Research, and for AACSB standards related to Impact and Assurance of Learning) required   for AACSB, AMBA and EQUIS accreditation projects, including the automatic production of the key tables required for AACSB AMBA and EQUIS accreditations.
- Provide standard and custom reports (in graphical user interfaces) to view faculty, research and accreditation data.
- Store all business school data on internal servers.
- Be regularly updated to support AACSB, AMBA and EQUIS accreditations as their standards evolve.
- Integrate with existing IT systems.
The proposed solution should use existing network infrastructure on campus (details available) or if this is not possible, there should be considerable justification on why an upgrade/replacement is required.
Please apply below to receive further infomation and documentation.",20/07/2016
Implementation of area based development for one of the 20 Smart city Projects in India.,"Smart City Mission intends to select the Project Management Consultants (PMC) to provide Technical advisory and Project Management Support for implementing projects under Area Based Development (ABD), through an open competitive bidding process in accordance with the procedure set out.
 In this regard, they are inviting proposals from interested and eligible firms to provide the consultancy services as detailed in the RFP Document.
Information related to bid process
Bid validity period 120 days from the submission date
Submission deadline - 17/7/2016
The bidders are invited to submit a Qualification Documents, Technical Proposal and a Financial Proposal, as specified in the Data Sheet, for consulting services required for the assignment named in the Data Sheet. The Proposal will be the basis for negotiating and ultimately signing the Contract with the selected Consultant.
Interested companies can register below for detailed RFP document and further details",13/07/2016
Strengthening smart water management and urban climate change resilience for a State in India,"The main objective of the project is  to improve the understanding of water-related disaster risks (both floods and droughts) considering climate change, and to strengthen the capacity of the state and local governments to more effectively manage and respond to water-related risks.
The outcome will be a technical study with clear and actionable recommendations to support improved water management in the state  and related capacity building activities.
The following 3 phase process would be taken under consideration:
Phase I – Scoping and Baseline Establishment
Phase II – Detailed Risk Assessment and Modelling
Phase III – Recommendations for Smart Water Solutions, Strengthening Resilience, and Capacity Building
Deadline of Submitting EOI: 30-Jul-2016 11:59 PM local time
Interested companies can register their interest below for detail documents.",25/07/2016
